init done.
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
GetWorstModels: FAILURE
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: SUCCESS
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
MakeComplaint: FAILURE
GetBestSellerModelByType: 1
GetBestSellerModelByType: FAILURE
GetBestSellerModelByType: FAILURE
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
GetBestSellerModelByType: 1
RemoveCarType: FAILURE
RemoveCarType: FAILURE
RemoveCarType: FAILURE
AddCarType: INVALID_INPUT
AddCarType: INVALID_INPUT
AddCarType: INVALID_INPUT
AddCarType: INVALID_INPUT
AddCarType: INVALID_INPUT
AddCarType: FAILURE
AddCarType: FAILURE
SellCar: FAILURE
SellCar: FAILURE
SellCar: FAILURE
